CALORIES,PROTEIN,FAT,SODIUM,FIBER,CARBO,SUGARS,VITAMINS,RATING
70,4,1,130,10,5,6,25,68.402973
120,3,5,15,2,8,8,0,33.983679
70,4,1,260,9,7,5,25,59.425505
50,4,0,140,14,8,0,25,93.704912
110,2,2,200,1,14,8,25,34.384843
110,2,2,180,1.5,10.5,10,25,29.509541
110,2,0,125,1,11,14,25,33.174094
130,3,2,210,2,18,8,25,37.038562
90,2,1,200,4,15,6,25,49.120253
90,3,0,210,5,13,5,25,53.313813
120,1,2,220,0,12,12,25,18.042851
110,6,2,290,2,17,1,25,50.764999
120,1,3,210,0,13,9,25,19.823573
110,3,2,140,2,13,7,25,40.400208
110,1,1,180,0,12,13,25,22.736446
110,2,0,280,0,22,3,25,41.445019
100,2,0,290,1,21,2,25,45.863324
110,1,0,90,1,13,12,25,35.782791
110,1,1,180,0,12,13,25,22.396513
110,3,3,140,4,10,7,25,40.448772
100,3,0,80,1,21,0,0,64.533816
110,2,0,220,1,21,3,25,46.895644
100,2,1,140,2,11,10,25,36.176196
100,2,0,190,1,18,5,25,44.330856
110,2,1,125,1,11,13,25,32.207582
110,1,0,200,1,14,11,25,31.435973
100,3,0,0,3,14,7,25,58.345141
120,3,2,160,5,12,10,25,40.917047
120,3,0,240,5,14,12,25,41.015492
110,1,1,135,0,13,12,25,28.025765
100,2,0,45,0,11,15,25,35.252444
110,1,1,280,0,15,9,25,23.804043
100,3,1,140,3,15,5,25,52.076897
110,3,0,170,3,17,3,25,53.371007
120,3,3,75,3,13,4,25,45.811716
120,1,2,220,1,12,11,25,21.871292
110,3,1,250,1.5,11.5,10,25,31.072217
110,1,0,180,0,14,11,25,28.742414
110,2,1,170,1,17,6,100,36.523683
140,3,1,170,2,20,9,100,36.471512
110,2,1,260,0,21,3,25,39.241114
100,4,2,150,2,12,6,25,45.328074
110,2,1,180,0,12,12,25,26.734515
100,4,1,0,0,16,3,25,54.850917
150,4,3,95,3,16,11,25,37.136863
150,4,3,150,3,16,11,25,34.139765
160,3,2,150,3,17,13,25,30.313351
100,2,1,220,2,15,6,25,40.105965
120,2,1,190,0,15,9,25,29.924285
140,3,2,220,3,21,7,25,40.69232
90,3,0,170,3,18,2,25,59.642837
130,3,2,170,1.5,13.5,10,25,30.450843
120,3,1,200,6,11,14,25,37.840594
100,3,0,320,1,20,3,100,41.50354
50,1,0,0,0,13,0,0,60.756112
50,2,0,0,1,10,0,0,63.005645
100,4,1,135,2,14,6,25,49.511874
100,5,2,0,2.7,-1,-1,0,50.828392
120,3,1,210,5,14,12,25,39.259197
100,3,2,140,2.5,10.5,8,25,39.7034
90,2,0,0,2,15,6,25,55.333142
110,1,0,240,0,23,2,25,41.998933
110,2,0,290,0,22,3,25,40.560159
80,2,0,0,3,16,0,0,68.235885
90,3,0,0,4,19,0,0,74.472949
90,3,0,0,3,20,0,0,72.801787
110,2,1,70,1,9,15,25,31.230054
110,6,0,230,1,16,3,25,53.131324
90,2,0,15,3,15,5,25,59.363993
110,2,1,200,0,21,3,100,38.839746
140,3,1,190,4,15,14,100,28.592785
100,3,1,200,3,16,3,100,46.658844
110,2,1,250,0,21,3,25,39.106174
110,1,1,140,0,13,12,25,27.753301
100,3,1,230,3,17,3,25,49.787445
100,3,1,200,3,17,3,25,51.592193
110,2,1,200,1,16,8,25,36.187559
